company,ticker,cik,accession_no,form,stage,filed,filing_date,pricing_date,priority,status,offering_value,primary_offering_shares,secondary_offering_shares,offering_size_source,offering_size_confidence,filing_price,offering_price,current_price,price_updated,location,location_source,lockup_end_date,holder_name,shares,cash_value,ipo_value,liquid_shares,liquid_value,locked_shares,locked_value,cash_realized_ipo,liquidity_status,liquidity_confidence,stanford_university_bio,holder_type,role,ownership_percent,ownership_percent_before,ownership_percent_after,shares_before_ipo,shares_sold_ipo,shares_after_ipo,stanford_source,lockup_scope,valuation_as_of,sec_url
"SeeQC, Inc.",SEQC,0001779977,0001213900-26-095175,S-1/A,Pre-pricing,2026-08-28,,,Medium,New,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1779977/000121390026095175/0001213900-26-095175-index.htm
"Obsidian Therapeutics, Inc.",OBX,0002130606,0001193125-26-374729,S-1,Pre-pricing,2026-08-28,,,Medium,New,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/2130606/000119312526374729/0001193125-26-374729-index.htm
"Electra Therapeutics, Inc.",ETRA,0002088082,0001193125-26-374259,S-1,Pre-pricing,2026-08-28,,,High,New,,,,,,$3.27,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/2088082/000119312526374259/0001193125-26-374259-index.htm
"Bamboo Insurance Services, Inc.",BMB,0002125355,0001628280-26-059433,S-1,Pre-pricing,2026-08-28,,,Medium,New,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/2125355/000162828026059433/0001628280-26-059433-index.htm
Amaero Inc.,AMRO,0002141616,0001193125-26-372368,S-1,Pre-pricing,2026-08-28,,,High,New,,,,,,$8.03,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/2141616/000119312526372368/0001193125-26-372368-index.htm
Youmi Inc.,,0002137360,0001520138-26-000375,S-1/A,Pre-pricing,2026-08-27,,,Medium,New,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/2137360/000152013826000375/0001520138-26-000375-index.htm
"FullPAC, Inc.",,0002076148,0001493152-26-040434,S-1/A,Pre-pricing,2026-08-27,,,Medium,New,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/2076148/000149315226040434/0001493152-26-040434-index.htm
Holtec Nuclear Corp,HNUC,0002104277,0001193125-26-361496,S-1/A,Pre-pricing,2026-08-24,,,Medium,New,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/2104277/000119312526361496/0001193125-26-361496-index.htm
Little West Holdings Inc.,LILW,0002065821,0001213900-26-092565,S-1/A,Pre-pricing,2026-08-21,,,High,New,18750000,,,cover share title,High,$4.00–$6.00,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/2065821/000121390026092565/0001213900-26-092565-index.htm
"CoVolt Power, Inc.",KVLT,0002131613,0001193125-26-361190,S-1,Pre-pricing,2026-08-21,,,Medium,New,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/2131613/000119312526361190/0001193125-26-361190-index.htm
Orion180 Insurance Group Inc.,OIG,0002124472,0001628280-26-058231,S-1,Pre-pricing,2026-08-20,,,Medium,New,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/2124472/000162828026058231/0001628280-26-058231-index.htm
